category,term,irr,ci_low,ci_high,p_value
all,60-70,0.9867795579306752,0.9722538190940072,1.0015223152913209,0.0785908546046741
all,80-90,1.019166317639585,1.0050446187535182,1.033486437944669,0.0076578554969819
all,90+,1.0146106805634754,0.9969258355522046,1.032609243739046,0.1059261286570943
all,<60,0.9690419384125376,0.9437127367208478,0.9950509745849698,0.0199599407546249
all,rain_day,1.0013326694526885,0.9835573606670056,1.01942922193504,0.8841318792998475
other,60-70,1.0576744714082609,1.0149972452889158,1.1021461315890733,0.0076226242505824
other,80-90,1.0432469421587016,1.003361000552743,1.0847184430368642,0.0332819870469464
other,90+,1.0212678112517766,0.9723072184758866,1.0726938178386676,0.4011444028355082
other,<60,1.0808497336104643,1.0039964970947013,1.1635858790607103,0.038833254440566
other,rain_day,0.9963170474505874,0.9478294685795242,1.0472850781146308,0.8847489275737808
property,60-70,0.9756623154834824,0.9621937905161068,0.9893193691719796,0.0005127413958643
property,80-90,1.0017949271394282,0.988754852419872,1.015006979319601,0.7884962091129499
property,90+,0.9889020351783004,0.9726689322784794,1.0054060561891165,0.1863266402578394
property,<60,0.9579887478911044,0.9345392918997888,0.9820265975337676,0.0006878997202572
property,rain_day,1.0129453058457318,0.996110181915479,1.0300649579365162,0.1325349745373866
violent,60-70,0.9555595111211126,0.9384498877681906,0.9729810735717898,8.168843211719409e-07
violent,80-90,1.0424071641367798,1.0251254914522792,1.059980173065735,1.1201095362831531e-06
violent,90+,1.069479105319073,1.0473107015618943,1.0921167472158106,3.2704017940217653e-10
violent,<60,0.8976326772834875,0.8687236116988962,0.9275037681448408,1.0074151097021508e-10
violent,rain_day,0.9880185733290194,0.966660192161278,1.0098488684638462,0.2796909916827282
